id	source	pointer	exact_json	kind	issue	support	disposition
ANC-C001	audio	/article/type	"""audio"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C002	audio	/current/category	"""Composition"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C003	audio	/current/eventDate	"""2019-01-24"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C004	audio	/current/documentDate	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C005	audio	/article/duration	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C006	dignity	/article/templateOnly	true	source-metadata	188	artifact	source-field-confirmed-only
ANC-C007	dignity	/article/status	"""preview"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C008	dignity	/article/published_at	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C009	dignity	/article/updated_at	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C010	harm	/article/type	"""article"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C011	harm	/article/visibility	"""restricted"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C012	harm	/current/source/metadata/type	"""author-authored quotation"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C013	painting	/article/type	"""image"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C014	painting	/article/medium	"""painting"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C015	painting	/current/documentDate	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C016	site	/name	"""GRWTSK"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C017	site	/repository	"""https://github.com/grwtsk/neurology"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C018	site	/access	"""reader"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C019	site	/release/status	"""beta"""	source-metadata	188	artifact	source-field-confirmed-only
ANC-C020	site	/release/initial_release	null	source-metadata	188	artifact	source-field-confirmed-only
ANC-C021	audio	/article/author	"""R.A. Jacob Martone"""	attribution	189	provenance	author-attribution-preserved
ANC-C022	audio	/current/assets/0/album	"""Violence"""	attribution	189	provenance	source-attribution-not-recording-inspection
ANC-C023	audio	/current/assets/0/trackId	"""800481031"""	media-reference	189	provenance	reference-preserved-media-not-inspected
ANC-C024	audio	/current/source/originalText	"""(I composed)"""	author-testimony	189	provenance	author-report-not-independent-authentication
ANC-C025	audio	/current/description	"""responding to his experience of January 24, 2019."""	author-testimony	189	provenance	reported-purpose-not-clinical-causation
ANC-C026	audio	/current/source/metadata/notes	"""January 24, 2019 is the described event date, not an inferred composition date."""	source-qualification	188	artifact	source-qualification-confirmed
ANC-C027	audio	/current/source/metadata/notes	"""The recording remains hosted by SoundCloud; the source repository contains its reference, not the audio file."""	media-availability	189	substantial	reference-confirmed-current-hosting-unverified
ANC-C028	audio	/current/document/units/0/caption/0/content/0/value	"""A reaction in sound to being disciplined and punished for it."""	author-expression	189	provenance	caption-expression-not-proof-of-wrongdoing
ANC-C029	painting	/article/title	"""I BLED SO"""	attribution	189	provenance	source-title-preserved-no-diagnostic-inference
ANC-C030	painting	/article/author	"""R.A. Jacob Martone"""	attribution	189	provenance	author-attribution-preserved
ANC-C031	painting	/current/source/metadata/sourceNote	"""Caption prepared with editorial assistance as a means of communication."""	editorial-provenance	189	provenance	source-provenance-preserved
ANC-C032	painting	/current/source/metadata/sourceNote	"""No creation date was supplied."""	source-qualification	188	artifact	source-qualification-confirmed-not-dated-from-upload
ANC-C033	painting	/current/description	"""A reaction painting that gives visible form to pain, using image and texture as a means of communication."""	author-expression	189	reasoning	expressive-purpose-preserved-not-treatment-effect
ANC-C034	painting	/current/document/units/0/alt	"""monochrome painting"""	visual-description	189	substantial	image-not-yet-inspected
