id	pointer	kind	review	verification_issue	support	disposition
Q03-F001	/schema_version	source-metadata	Q03-R00	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F002	/verified_at	source-metadata	Q03-R00	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F003	/quotations/0/id	source-metadata	Q03-R01	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F004	/quotations/0/type	source-metadata	Q03-R01	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F005	/quotations/0/text	quotation	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	matched-sentence
Q03-F006	/quotations/0/authority_type	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F007	/quotations/0/tradition_or_domain	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F008	/quotations/0/author_or_body	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F009	/quotations/0/work	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F010	/quotations/0/locator	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F011	/quotations/0/translation_or_version	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F012	/quotations/0/jurisdiction	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F013	/quotations/0/authority_level	attribution-or-scope	Q03-R01	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F014	/quotations/0/source_url	source-metadata	Q03-R01	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F015	/quotations/0/verified_at	historical-verification-label	Q03-R01	https://github.com/grwtsk/huey/issues/192	source-preservation	not-recertified
Q03-F016	/quotations/0/principles/0	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F017	/quotations/0/principles/1	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F018	/quotations/0/principles/2	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F019	/quotations/0/principles/3	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F020	/quotations/0/ethics_nodes/0	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F021	/quotations/0/ethics_nodes/1	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F022	/quotations/0/ethics_nodes/2	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F023	/quotations/0/ethics_nodes/3	conceptual-correspondence	Q03-R01	https://github.com/grwtsk/huey/issues/144	substantial	unreviewed-correspondence
Q03-F024	/quotations/0/context_note	compound-context-statement	Q03-R01	https://github.com/grwtsk/huey/issues/192	substantial	see-entry-review
Q03-F025	/quotations/0/use_note	editorial-use-limit	Q03-R01	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F026	/quotations/0/evidentiary_use	editorial-use-limit	Q03-R01	https://github.com/grwtsk/huey/issues/192	reasoning	preserved-not-legal-clearance
Q03-F027	/quotations/1/id	source-metadata	Q03-R02	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F028	/quotations/1/type	source-metadata	Q03-R02	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
Q03-F029	/quotations/1/text	quotation	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	index-excerpt-only
Q03-F030	/quotations/1/authority_type	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F031	/quotations/1/tradition_or_domain	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F032	/quotations/1/author_or_body	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F033	/quotations/1/work	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F034	/quotations/1/locator	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F035	/quotations/1/translation_or_version	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F036	/quotations/1/jurisdiction	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F037	/quotations/1/authority_level	attribution-or-scope	Q03-R02	https://github.com/grwtsk/huey/issues/192	primary-text	see-entry-review
Q03-F038	/quotations/1/source_url	source-metadata	Q03-R02	https://github.com/grwtsk/huey/issues/192	source-preservation	preserved-source-field
