unit	paragraph	chapter	huey_issue	sources	notes
HUEY-CL10-P05-024-S01	P05-024	5	181	D02,A	K05
HUEY-CL10-P05-024-S02	P05-024	5	181	D02,A	K05
HUEY-CL10-P05-024-S03	P05-024	5	181	D02,A	K05
HUEY-CL10-P05-024-S04	P05-024	5	181	D02,A	K05
HUEY-CL10-P05-025-S01	P05-025	5	181	D02,B,A	K05
HUEY-CL10-P05-025-S02	P05-025	5	181	D02,B,A	K05
HUEY-CL10-P05-025-S03	P05-025	5	181	D02,B,A	K05
HUEY-CL10-P05-034-S01	P05-034	5	181	D02,A	K05
HUEY-CL10-P05-034-S02	P05-034	5	181	D02,A	K05
HUEY-CL10-P05-034-S03	P05-034	5	181	D02,A	K05
HUEY-CL10-P05-034-S04	P05-034	5	181	D02,A	K05
HUEY-CL10-P06-017-S01	P06-017	6	180	D01,D02,A	K01
HUEY-CL10-P06-017-S02	P06-017	6	180	D01,D02,A	K01
HUEY-CL10-P06-017-S03	P06-017	6	180	D01,D02,A	K01
HUEY-CL10-P06-017-S04	P06-017	6	180	D01,D02,A	K01
HUEY-CL10-P06-017-S05	P06-017	6	180	D01,D02,A	K01
HUEY-CL10-P06-019-S01	P06-019	6	180	W09	K08
HUEY-CL10-P06-019-S02	P06-019	6	180	W09	K08
HUEY-CL10-P06-020-S01	P06-020	6	180	W09,A	K08
HUEY-CL10-P06-020-S02	P06-020	6	180	W09,A	K08
HUEY-CL10-P06-021-S01	P06-021	6	180	D01	K01,K07
HUEY-CL10-P06-021-S02	P06-021	6	180	D01	K01,K07
HUEY-CL10-P06-021-S03	P06-021	6	180	D01	K01,K07
HUEY-CL10-P06-022-S01	P06-022	6	180	D01,A	K01,K07
HUEY-CL10-P06-022-S02	P06-022	6	180	D01,A	K01,K07
HUEY-CL10-P06-022-S03	P06-022	6	180	D01,A	K01,K07
HUEY-CL10-P06-022-S04	P06-022	6	180	D01,A	K01,K07
HUEY-CL10-P06-022-S05	P06-022	6	180	D01,A	K01,K07
HUEY-CL10-P06-023-S01	P06-023	6	180	D01,A	K01,K07
HUEY-CL10-P06-023-S02	P06-023	6	180	D01,A	K01,K07
HUEY-CL10-P06-023-S03	P06-023	6	180	D01,A	K01,K07
HUEY-CL10-P06-023-S04	P06-023	6	180	D01,A	K01,K07
HUEY-CL10-P06-024-S01	P06-024	6	180	D01,A	K07
HUEY-CL10-P06-024-S02	P06-024	6	180	D01,A	K07
HUEY-CL10-P06-024-S03	P06-024	6	180	D01,A	K07
HUEY-CL10-P06-024-S04	P06-024	6	180	D01,A	K07
HUEY-CL10-P06-025-S01	P06-025	6	180	D01	K07
HUEY-CL10-P06-025-S02	P06-025	6	180	D01	K07
HUEY-CL10-P06-025-S03	P06-025	6	180	D01	K07
HUEY-CL10-P06-025-S04	P06-025	6	180	D01	K07
HUEY-CL10-P06-026-S01	P06-026	6	180	D01,A	K01,K02
HUEY-CL10-P06-026-S02	P06-026	6	180	D01,A	K01,K02
HUEY-CL10-P06-026-S03	P06-026	6	180	D01,A	K01,K02
HUEY-CL10-P06-026-S04	P06-026	6	180	D01,A	K01,K02
HUEY-CL10-P06-026-S05	P06-026	6	180	D01,A	K01,K02
HUEY-CL10-P06-027-S01	P06-027	6	180	D01,A	K01
HUEY-CL10-P06-027-S02	P06-027	6	180	D01,A	K01
HUEY-CL10-P06-027-S03	P06-027	6	180	D01,A	K01
HUEY-CL10-P06-028-S01	P06-028	6	180	D01,A	K07
HUEY-CL10-P06-028-S02	P06-028	6	180	D01,A	K07
HUEY-CL10-P06-028-S03	P06-028	6	180	D01,A	K07
HUEY-CL10-P06-029-S01	P06-029	6	180	D01,A	K07
HUEY-CL10-P06-029-S02	P06-029	6	180	D01,A	K07
HUEY-CL10-P06-029-S03	P06-029	6	180	D01,A	K07
HUEY-CL10-P06-029-S04	P06-029	6	180	D01,A	K07
HUEY-CL10-P06-030-S01	P06-030	6	180	D01,A	K07
HUEY-CL10-P06-030-S02	P06-030	6	180	D01,A	K07
HUEY-CL10-P06-030-S03	P06-030	6	180	D01,A	K07
HUEY-CL10-P06-030-S04	P06-030	6	180	D01,A	K07
HUEY-CL10-P06-030-S05	P06-030	6	180	D01,A	K07
HUEY-CL10-P06-032-S01	P06-032	6	180	B,D01,A	K02,K03
HUEY-CL10-P06-032-S02	P06-032	6	180	B,D01,A	K02,K03
HUEY-CL10-P06-032-S03	P06-032	6	180	B,D01,A	K02,K03
HUEY-CL10-P06-032-S04	P06-032	6	180	B,D01,A	K02,K03
HUEY-CL10-P06-032-S05	P06-032	6	180	B,D01,A	K02,K03
HUEY-CL10-P06-038-S01	P06-038	6	180	B,D01,D02,A	K01,K02,K03
HUEY-CL10-P06-038-S02	P06-038	6	180	B,D01,D02,A	K01,K02,K03
HUEY-CL10-P06-038-S03	P06-038	6	180	B,D01,D02,A	K01,K02,K03
HUEY-CL10-P06-038-S04	P06-038	6	180	B,D01,D02,A	K01,K02,K03
HUEY-CL10-P06-039-S01	P06-039	6	180	D01,D02,A	K01,K03,K05
HUEY-CL10-P06-039-S02	P06-039	6	180	D01,D02,A	K01,K03,K05
HUEY-CL10-P06-039-S03	P06-039	6	180	D01,D02,A	K01,K03,K05
HUEY-CL10-P06-039-S04	P06-039	6	180	D01,D02,A	K01,K03,K05
HUEY-CL10-P06-039-S05	P06-039	6	180	D01,D02,A	K01,K03,K05
HUEY-CL10-P10-040-S01	P10-040	10	24	W04	K04
HUEY-CL10-P10-040-S02	P10-040	10	24	W04	K04
HUEY-CL10-P10-040-S03	P10-040	10	24	W04	K04
HUEY-CL10-P10-040-S04	P10-040	10	24	W04	K04
HUEY-CL10-P10-040-S05	P10-040	10	24	W04	K04
HUEY-CL10-P10-042-S01	P10-042	10	24	A,W04	K04
HUEY-CL10-P10-042-S02	P10-042	10	24	A,W04	K04
HUEY-CL10-P10-042-S03	P10-042	10	24	A,W04	K04
HUEY-CL10-P10-042-S04	P10-042	10	24	A,W04	K04
HUEY-CL10-P12-056-S01	P12-056	12	24	W07,B	K06
