unit	note	type	huey_issue	sources
HUEY-CL10-U001	K01	source-report	180	D01
HUEY-CL10-U002	K01	source-report	180	D02
HUEY-CL10-U003	K01	source-limit	180	D01,D02,A
HUEY-CL10-U004	K01	professional-guidance	180	W01
HUEY-CL10-U005	K01	professional-guidance	180	W01
HUEY-CL10-U006	K01	inference	180	W01,A
HUEY-CL10-U007	K01	proposed-safeguard	180	A,D01
HUEY-CL10-U008	K01	editorial-analysis	180	A,D01
HUEY-CL10-U009	K02	study-method	24	W02
HUEY-CL10-U010	K02	study-method	24	W02
HUEY-CL10-U011	K02	study-measure	24	W02
HUEY-CL10-U012	K02	study-result	24	W02
HUEY-CL10-U013	K02	study-limit	24	W02
HUEY-CL10-U014	K02	scope-limit	24	W02,A
HUEY-CL10-U015	K02	editorial-analysis	24	A,D01
HUEY-CL10-U016	K03	study-method	24	W03
HUEY-CL10-U017	K03	study-measure	24	W03
HUEY-CL10-U018	K03	study-result	24	W03
HUEY-CL10-U019	K03	study-result	24	W03
HUEY-CL10-U020	K03	scope-limit	24	W03,A
HUEY-CL10-U021	K03	editorial-analysis	24	A
HUEY-CL10-U022	K04	study-method	24	W04
HUEY-CL10-U023	K04	study-method	24	W04
HUEY-CL10-U024	K04	study-result	24	W04
HUEY-CL10-U025	K04	study-limit	24	W04
HUEY-CL10-U026	K04	chronology-limit	24	W04,D02,A
HUEY-CL10-U027	K04	editorial-disposition	24	B,A
HUEY-CL10-U028	K05	study-method	181	W05
HUEY-CL10-U029	K05	study-measure	181	W05
HUEY-CL10-U030	K05	corrected-study-result	181	W06
HUEY-CL10-U031	K05	source-version-discrepancy	181	W05,W06
HUEY-CL10-U032	K05	study-limit	181	W05,A
HUEY-CL10-U033	K05	source-grounded-analysis	181	D01,D02,A
HUEY-CL10-U034	K05	editorial-analysis	181	A
HUEY-CL10-U035	K06	study-method	24	W07
HUEY-CL10-U036	K06	study-result	24	W07
HUEY-CL10-U037	K06	study-limit	24	W07
HUEY-CL10-U038	K06	study-limit	24	W07
HUEY-CL10-U039	K06	inference-limit	24	W07,A
HUEY-CL10-U040	K06	scope-record	24	B,A
HUEY-CL10-U041	K06	editorial-analysis	24	A
HUEY-CL10-U042	K07	law	180	W08
HUEY-CL10-U043	K07	law	180	W08
HUEY-CL10-U044	K07	law	180	W08
HUEY-CL10-U045	K07	law	180	W08
HUEY-CL10-U046	K07	inference	180	W08,A
HUEY-CL10-U047	K07	source-report	180	D01
HUEY-CL10-U048	K07	proposed-safeguard	180	A,D01
HUEY-CL10-U049	K08	agency-guidance	180	W09
HUEY-CL10-U050	K08	agency-guidance	180	W09
HUEY-CL10-U051	K08	guidance-limit	180	W09,A
HUEY-CL10-U052	K08	source-report	180	D01
HUEY-CL10-U053	K08	source-report	180	D02
HUEY-CL10-U054	K08	proposed-safeguard	180	A,D01
HUEY-CL10-U055	K08	proposed-safeguard	180	A
HUEY-CL10-U056	K08	editorial-analysis	180	A,D01
HUEY-CL10-K01-QUESTION	K01	review-question	180	A
HUEY-CL10-K01-EVIDENCE	K01	review-evidence	180	A
HUEY-CL10-K01-ALTERNATIVE	K01	review-alternative	180	A
HUEY-CL10-K01-REVIEWER	K01	review-reviewer	180	A
HUEY-CL10-K01-CLOSURE	K01	review-closure	180	A
HUEY-CL10-K02-QUESTION	K02	review-question	24	A
HUEY-CL10-K02-EVIDENCE	K02	review-evidence	24	A
HUEY-CL10-K02-ALTERNATIVE	K02	review-alternative	24	A
HUEY-CL10-K02-REVIEWER	K02	review-reviewer	24	A
HUEY-CL10-K02-CLOSURE	K02	review-closure	24	A
HUEY-CL10-K03-QUESTION	K03	review-question	24	A
HUEY-CL10-K03-EVIDENCE	K03	review-evidence	24	A
HUEY-CL10-K03-ALTERNATIVE	K03	review-alternative	24	A
HUEY-CL10-K03-REVIEWER	K03	review-reviewer	24	A
HUEY-CL10-K03-CLOSURE	K03	review-closure	24	A
HUEY-CL10-K04-QUESTION	K04	review-question	24	A
HUEY-CL10-K04-EVIDENCE	K04	review-evidence	24	A
HUEY-CL10-K04-ALTERNATIVE	K04	review-alternative	24	A
HUEY-CL10-K04-REVIEWER	K04	review-reviewer	24	A
HUEY-CL10-K04-CLOSURE	K04	review-closure	24	A
HUEY-CL10-K05-QUESTION	K05	review-question	181	A
HUEY-CL10-K05-EVIDENCE	K05	review-evidence	181	A
HUEY-CL10-K05-ALTERNATIVE	K05	review-alternative	181	A
HUEY-CL10-K05-REVIEWER	K05	review-reviewer	181	A
HUEY-CL10-K05-CLOSURE	K05	review-closure	181	A
HUEY-CL10-K06-QUESTION	K06	review-question	24	A
HUEY-CL10-K06-EVIDENCE	K06	review-evidence	24	A
HUEY-CL10-K06-ALTERNATIVE	K06	review-alternative	24	A
HUEY-CL10-K06-REVIEWER	K06	review-reviewer	24	A
HUEY-CL10-K06-CLOSURE	K06	review-closure	24	A
HUEY-CL10-K07-QUESTION	K07	review-question	180	A
HUEY-CL10-K07-EVIDENCE	K07	review-evidence	180	A
HUEY-CL10-K07-ALTERNATIVE	K07	review-alternative	180	A
HUEY-CL10-K07-REVIEWER	K07	review-reviewer	180	A
HUEY-CL10-K07-CLOSURE	K07	review-closure	180	A
HUEY-CL10-K08-QUESTION	K08	review-question	180	A
HUEY-CL10-K08-EVIDENCE	K08	review-evidence	180	A
HUEY-CL10-K08-ALTERNATIVE	K08	review-alternative	180	A
HUEY-CL10-K08-REVIEWER	K08	review-reviewer	180	A
HUEY-CL10-K08-CLOSURE	K08	review-closure	180	A
