unit	edit	type	huey_issue	sources	carelaw_ids
HUEY-CL03-U001	CL03-E01	argument	186	A	C014,C016
HUEY-CL03-U002	CL03-E01	argument	179	A,L17	C012,C026
HUEY-CL03-U003	CL03-E01	argument	186	A	C017
HUEY-CL03-U004	CL03-E01	argument	186	A	C016,C027
HUEY-CL03-U005	CL03-E01	argument	186	A	C029,C030
HUEY-CL03-U006	CL03-E01	argument	186	A	C031,C035
HUEY-CL03-U007	CL03-E01	argument	186	A	C111
HUEY-CL03-U008	CL03-E02	testimony	180	L10,L17	C040,C043
HUEY-CL03-U009	CL03-E02	editorial	186	B	-
HUEY-CL03-U010	CL03-E02	source-description	180	L17	C037,C038,C040
HUEY-CL03-U011	CL03-E02	request	180	L17	C043
HUEY-CL03-U012	CL03-E02	argument	180	A,L17	-
HUEY-CL03-U013	CL03-E02	ethics	180	W08	C042
HUEY-CL03-U014	CL03-E02	ethics	180	W08	-
HUEY-CL03-U015	CL03-E02	interpretation	180	W08	-
HUEY-CL03-U016	CL03-E02	request	180	A,L17	-
HUEY-CL03-U017	CL03-E03	argument	183	B,L17	-
HUEY-CL03-U018	CL03-E03	policy	183	W01	C207
HUEY-CL03-U019	CL03-E03	policy	183	W01	C208
HUEY-CL03-U020	CL03-E03	policy	183	W01	C209
HUEY-CL03-U021	CL03-E03	scope	183	W01,L17	-
HUEY-CL03-U022	CL03-E03	question	183	A,W01	C210
HUEY-CL03-U023	CL03-E03	question	183	A,L17	C250
HUEY-CL03-U024	CL03-E03	argument	183	A,L17	C109,C142
HUEY-CL03-U025	CL03-E03	argument	183	A,L17	-
HUEY-CL03-U026	CL03-E03	law	180	W02	C221
HUEY-CL03-U027	CL03-E03	law	180	W02	C222
HUEY-CL03-U028	CL03-E03	law	180	W02	C223
HUEY-CL03-U029	CL03-E03	interpretation	180	W02	-
HUEY-CL03-U030	CL03-E03	source-description	180	L17	C183,C185
HUEY-CL03-U031	CL03-E03	interpretation	180	L17,N09	C184
HUEY-CL03-U032	CL03-E03	request	180	A,L17	C186
HUEY-CL03-U033	CL03-E03	interpretation	184	W03	-
HUEY-CL03-U034	CL03-E03	law	184	W03	C225
HUEY-CL03-U035	CL03-E03	law	184	W03	C226
HUEY-CL03-U036	CL03-E03	law	184	W03	C227
HUEY-CL03-U037	CL03-E03	scope	184	W03	-
HUEY-CL03-U038	CL03-E03	question	184	A,W03	C228
HUEY-CL03-U039	CL03-E03	argument	185	A,L17	C022,C023
HUEY-CL03-U040	CL03-E03	argument	185	A,L17	C021,C254
HUEY-CL03-U041	CL03-E04	argument	183	A,B	-
HUEY-CL03-U042	CL03-E04	request	183	A,L17	C063,C104,C108
HUEY-CL03-U043	CL03-E04	question	178	A,L10	C056,C057
HUEY-CL03-U044	CL03-E04	question	178	A,L17	C059
HUEY-CL03-U045	CL03-E04	question	179	A,L10	C061
HUEY-CL03-U046	CL03-E04	argument	183	A,L10,L17	C099
HUEY-CL03-U047	CL03-E04	argument	178	A,L10,L17	C071,C143
HUEY-CL03-U048	CL03-E04	argument	183	A	C072
HUEY-CL03-U049	CL03-E04	scope	183	A	-
HUEY-CL03-U050	CL03-E05	argument	181	L10	C074,C081
HUEY-CL03-U051	CL03-E05	source-description	181	L10	C081
HUEY-CL03-U052	CL03-E05	interpretation	181	L10	-
HUEY-CL03-U053	CL03-E05	argument	181	A,L10	-
HUEY-CL03-U054	CL03-E05	law	181	W04	C079
HUEY-CL03-U055	CL03-E05	law	181	W04	-
HUEY-CL03-U056	CL03-E05	law	181	W04	-
HUEY-CL03-U057	CL03-E05	interpretation	181	W04	-
HUEY-CL03-U058	CL03-E05	law	181	W05	C080
HUEY-CL03-U059	CL03-E05	law	181	W05	-
HUEY-CL03-U060	CL03-E05	interpretation	181	W05,L10	-
HUEY-CL03-U061	CL03-E05	request	181	A,L10	-
HUEY-CL03-U062	CL03-E06	question	178	A,L10	-
