unit	passage	chapter	type	huey_issue	sources	review_state
HUEY-CL05-R001	CL05-P001	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R002	CL05-P001	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R003	CL05-P001	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R004	CL05-P001	14	editorial	185	B,M	retained-source-scoped-review
HUEY-CL05-R005	CL05-P002	14	source-description	50	M,B	retained-source-scoped-review
HUEY-CL05-R006	CL05-P002	14	source-description	50	M,B	retained-source-scoped-review
HUEY-CL05-R007	CL05-P002	14	source-description	50	M,B	retained-source-scoped-review
HUEY-CL05-R008	CL05-P002	14	source-description	50	M,B	retained-source-scoped-review
HUEY-CL05-R009	CL05-P002	14	source-description	50	M,B	retained-source-scoped-review
HUEY-CL05-R010	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R011	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R012	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R013	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R014	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R015	CL05-P003	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R016	CL05-P004	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R017	CL05-P004	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R018	CL05-P004	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R019	CL05-P004	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R020	CL05-P005	14	attributed-experience	185	L17,B	retained-source-scoped-review
HUEY-CL05-R021	CL05-P005	14	attributed-experience	185	L17,B	retained-source-scoped-review
HUEY-CL05-R022	CL05-P005	14	attributed-experience	185	L17,B	retained-source-scoped-review
HUEY-CL05-R023	CL05-P005	14	attributed-experience	185	L17,B	retained-source-scoped-review
HUEY-CL05-R024	CL05-P005	14	attributed-experience	185	L17,B	retained-source-scoped-review
HUEY-CL05-R025	CL05-P006	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R026	CL05-P006	14	argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R027	CL05-P007	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R028	CL05-P007	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R029	CL05-P007	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R030	CL05-P007	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R031	CL05-P008	14	request	185	M,L17	retained-source-scoped-review
HUEY-CL05-R032	CL05-P008	14	request	185	M,L17	retained-source-scoped-review
HUEY-CL05-R033	CL05-P008	14	request	185	M,L17	retained-source-scoped-review
HUEY-CL05-R034	CL05-P008	14	request	185	M,L17	retained-source-scoped-review
HUEY-CL05-R035	CL05-P009	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R036	CL05-P009	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R037	CL05-P009	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R038	CL05-P009	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R039	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R040	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R041	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R042	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R043	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R044	CL05-P010	14	argument	185	M	retained-source-scoped-review
HUEY-CL05-R045	CL05-P012	14	agency-argument	185	M,L17	retained-source-scoped-review
HUEY-CL05-R046	CL05-P012	14	agency-argument	185	M,L17	retained-source-scoped-review
HUEY-CL05-R047	CL05-P012	14	agency-argument	185	M,L17	retained-source-scoped-review
HUEY-CL05-R048	CL05-P012	14	agency-argument	185	M,L17	retained-source-scoped-review
HUEY-CL05-R049	CL05-P013	14	agency-argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R050	CL05-P013	14	agency-argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R051	CL05-P013	14	agency-argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R052	CL05-P013	14	agency-argument	185	M,B	retained-source-scoped-review
HUEY-CL05-R053	CL05-P014	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R054	CL05-P014	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R055	CL05-P014	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R056	CL05-P014	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R057	CL05-P014	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R058	CL05-P015	14	source-description	185	M	retained-source-scoped-review
HUEY-CL05-R059	CL05-P015	14	source-description	185	M	retained-source-scoped-review
HUEY-CL05-R060	CL05-P015	14	source-description	185	M	retained-source-scoped-review
HUEY-CL05-R061	CL05-P015	14	source-description	185	M	retained-source-scoped-review
HUEY-CL05-R062	CL05-P015	14	source-description	185	M	retained-source-scoped-review
HUEY-CL05-R063	CL05-P016	14	attributed-experience	185	M,L17	retained-source-scoped-review
HUEY-CL05-R064	CL05-P016	14	attributed-experience	185	M,L17	retained-source-scoped-review
HUEY-CL05-R065	CL05-P016	14	attributed-experience	185	M,L17	retained-source-scoped-review
HUEY-CL05-R066	CL05-P016	14	attributed-experience	185	M,L17	retained-source-scoped-review
HUEY-CL05-R067	CL05-P017	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R068	CL05-P017	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R069	CL05-P017	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R070	CL05-P017	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R071	CL05-P018	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R072	CL05-P018	14	personal-reflection	185	M	retained-source-scoped-review
HUEY-CL05-R073	CL05-P019	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R074	CL05-P019	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R075	CL05-P019	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R076	CL05-P019	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R077	CL05-P019	14	personal-reflection	185	M,B	retained-source-scoped-review
HUEY-CL05-R078	CL05-P020	14	editorial	185	B,L17	retained-source-scoped-review
HUEY-CL05-R079	CL05-P020	14	editorial	185	B,L17	retained-source-scoped-review
HUEY-CL05-R080	CL05-P020	14	editorial	185	B,L17	retained-source-scoped-review
HUEY-CL05-R081	CL05-P020	14	editorial	185	B,L17	retained-source-scoped-review
HUEY-CL05-R082	CL05-P021	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R083	CL05-P021	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R084	CL05-P021	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R085	CL05-P021	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R086	CL05-P022	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R087	CL05-P022	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R088	CL05-P022	14	normative	185	M	retained-source-scoped-review
HUEY-CL05-R089	CL05-P023	14	personal-declaration-lineage-pending	50	B	retained-source-lineage-open
HUEY-CL05-R090	CL05-P023	14	personal-declaration-lineage-pending	50	B	retained-source-lineage-open
HUEY-CL05-R091	CL05-P023	14	personal-declaration-lineage-pending	50	B	retained-source-lineage-open
HUEY-CL05-R092	CL05-P023	14	personal-declaration-lineage-pending	50	B	retained-source-lineage-open
HUEY-CL05-R093	CL05-P024	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R094	CL05-P024	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R095	CL05-P024	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R096	CL05-P024	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R097	CL05-P024	14	normative	185	M,B	retained-source-scoped-review
HUEY-CL05-R098	CL05-P025	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R099	CL05-P025	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R100	CL05-P025	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R101	CL05-P025	14	personal-theological-reading	185	M	retained-source-scoped-review
HUEY-CL05-R102	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R103	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R104	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R105	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R106	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R107	CL05-P027	14	normative	185	M,L17	retained-source-scoped-review
HUEY-CL05-R108	CL05-P028	14	normative	185	B,M	retained-source-scoped-review
HUEY-CL05-R109	CL05-P028	14	normative	185	B,M	retained-source-scoped-review
