unit	passage	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL05-U001	CL05-E01	14	argument	185	A,M	C145
HUEY-CL05-U002	CL05-E01	14	argument	185	A,M	C145
HUEY-CL05-U003	CL05-E01	14	argument	185	A,M	C145
HUEY-CL05-U004	CL05-E01	14	argument	185	A,M	C129
HUEY-CL05-U005	CL05-E01	14	argument	185	A,M	C072
HUEY-CL05-U006	CL05-E02	14	argument	184	A,M,L17	C029
HUEY-CL05-U007	CL05-E02	14	request	184	A,M,L17	C029,C099
HUEY-CL05-U008	CL05-E02	14	request	184	A,M,L17	C100,C101
HUEY-CL05-U009	CL05-E02	14	argument	184	A,M,L17	C138
HUEY-CL05-U010	CL05-E02	14	argument	184	A,M,L17	C031
HUEY-CL05-U011	CL05-E02	14	request	184	A,M,L17	C043,C074
HUEY-CL05-U012	CL05-E02	14	request	184	A,M,L17	C100
HUEY-CL05-U013	CL05-E02	14	argument	184	A,M,L17	C138
HUEY-CL05-U014	CL05-E03	14	argument	185	A,M,L17	C129
HUEY-CL05-U015	CL05-E03	14	argument	185	A,M,L17	C129
HUEY-CL05-U016	CL05-E03	14	request	185	A,M,L17	C129
HUEY-CL05-U017	CL05-E03	14	argument	185	A,M,L17	C022,C129
HUEY-CL05-U018	CL05-E03	14	hypothesis	185	A,M,L17	C121,C130
HUEY-CL05-U019	CL05-E04	14	theology	185	W02	-
HUEY-CL05-U020	CL05-E04	14	interpretation	185	A,M,L17	-
HUEY-CL05-U021	CL05-E04	14	hypothesis	185	A,M,L17	C109,C142
HUEY-CL05-U022	CL05-E04	14	request	185	A,M,L17	C142
HUEY-CL05-U023	CL05-E04	14	request	185	A,M,L17	C142
HUEY-CL05-U024	CL05-E05	14	argument	185	A,L17	C127
HUEY-CL05-U025	CL05-E05	14	argument	185	A,L17	C040,C127
HUEY-CL05-U026	CL05-E05	14	argument	185	A,L17	-
HUEY-CL05-U027	CL05-E05	14	argument	185	A,L17	C052,C077
HUEY-CL05-U028	CL05-E05	14	argument	185	A,L17	C128
HUEY-CL05-U029	CL05-E05	14	request	185	A,L17	C012,C055,C077,C105
HUEY-CL05-U030	CL05-E05	14	argument	185	A,L17	C130
HUEY-CL05-U031	CL05-E05	14	request	185	A,L17	C127,C142
HUEY-CL05-U032	CL05-E06	14	theology	185	W01	-
HUEY-CL05-U033	CL05-E06	14	theology	185	W01	-
HUEY-CL05-U034	CL05-E06	14	interpretation	185	A,M	C134
HUEY-CL05-U035	CL05-E06	14	interpretation	185	A,M	C136
HUEY-CL05-U036	CL05-E07	14	argument	183	A,L17	-
HUEY-CL05-U037	CL05-E07	14	ethics	183	W04	-
HUEY-CL05-U038	CL05-E07	14	ethics	183	W04	C121
HUEY-CL05-U039	CL05-E07	14	interpretation	183	W04,A	C070
HUEY-CL05-U040	CL05-E07	14	question	183	A,L17	C070
HUEY-CL05-U041	CL05-E07	14	request	183	A,L17	C070
HUEY-CL05-U042	CL05-E07	14	ethics	183	W05	C129
HUEY-CL05-U043	CL05-E07	14	ethics	183	W05	C021
HUEY-CL05-U044	CL05-E07	14	ethics	183	W05	C211
HUEY-CL05-U045	CL05-E07	14	argument	183	A,L17	C023
HUEY-CL05-U046	CL05-E07	14	question	183	A,L17	C055,C109
HUEY-CL05-U047	CL05-E08	14	argument	184	A,M,L17	-
HUEY-CL05-U048	CL05-E08	14	law	184	W06	-
HUEY-CL05-U049	CL05-E08	14	law	184	W06	-
HUEY-CL05-U050	CL05-E08	14	scope	184	W06	C047,C103
HUEY-CL05-U051	CL05-E08	14	interpretation	184	A,M,L17	C129
HUEY-CL05-U052	CL05-E08	14	argument	184	A,M,L17	C129
HUEY-CL05-U053	CL05-E08	14	argument	184	A,M,L17	-
HUEY-CL05-U054	CL05-E08	14	request	184	A,M,L17	C022
HUEY-CL05-U055	CL05-E09	14	literary-source	185	W07	-
HUEY-CL05-U056	CL05-E09	14	metaphor	185	A,M,L17	C131
HUEY-CL05-U057	CL05-E09	14	metaphor	185	A,M,L17	C131,C132
HUEY-CL05-U058	CL05-E09	14	metaphor	185	A,M,L17	C132
HUEY-CL05-U059	CL05-E09	14	metaphor	185	A,M,L17	C133
HUEY-CL05-U060	CL05-E09	14	argument	185	A,M,L17	C110
HUEY-CL05-U061	CL05-E09	14	metaphor	185	A,M,L17	C111
HUEY-CL05-U062	CL05-E09	14	request	185	A,M,L17	C133
HUEY-CL05-U063	CL05-E09	14	metaphor	185	A,M,L17	C256
HUEY-CL05-U064	CL05-E10	14	argument	185	A,M,L17	C129
HUEY-CL05-U065	CL05-E10	14	question	185	A,M,L17	C074,C116
HUEY-CL05-U066	CL05-E10	14	question	185	A,M,L17	C224
HUEY-CL05-U067	CL05-E10	14	question	185	A,M,L17	C104,C250,C251
HUEY-CL05-U068	CL05-E10	14	scope	185	A,M,L17	C118,C252
HUEY-CL05-U069	CL05-E10	14	argument	185	A,M,L17	C121,C122
HUEY-CL05-U070	CL05-E10	14	request	185	A,M,L17	C130
HUEY-CL05-U071	CL05-E10	14	argument	185	A,M,L17	C120,C130
HUEY-CL05-U072	CL05-E10	14	argument	185	A,M,L17	C071
HUEY-CL05-U073	CL05-E11	14	request	185	A,L17	C023
HUEY-CL05-U074	CL05-E11	14	source-description	185	L17	-
HUEY-CL05-U075	CL05-E11	14	argument	185	A,L17	C128
HUEY-CL05-U076	CL05-E11	14	request	185	A,L17	C141
HUEY-CL05-U077	CL05-E11	14	hypothesis	185	A,L17	C146,C254
HUEY-CL05-U078	CL05-E11	14	editorial	185	B,A	-
