unit	edit	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL06-U001	CL06-E01	3	question	178	A,L08,L10	C012,C056,C060
HUEY-CL06-U002	CL06-E01	3	question	178	A,L08,L10	C012,C056,C060
HUEY-CL06-U003	CL06-E01	3	request	178	A,L08,L10	C012,C056,C060
HUEY-CL06-U004	CL06-E01	3	argument	178	A,L08,L10	C012,C056,C060
HUEY-CL06-U005	CL06-E01	3	argument	178	A,L08,L10	C012,C056,C060
HUEY-CL06-U006	CL06-E02	3	question	179	A,L08,L10	C010,C056,C058
HUEY-CL06-U007	CL06-E02	3	question	179	A,L08,L10	C010,C056,C058
HUEY-CL06-U008	CL06-E02	3	request	179	A,L08,L10	C010,C056,C058
HUEY-CL06-U009	CL06-E02	3	argument	179	A,L08,L10	C010,C056,C058
HUEY-CL06-U010	CL06-E03	3	question	180	L10,A	C062,C040,C043
HUEY-CL06-U011	CL06-E03	3	question	180	L10,A	C062,C040,C043
HUEY-CL06-U012	CL06-E03	3	question	180	L10,A	C062,C040,C043
HUEY-CL06-U013	CL06-E03	3	request	180	L10,A	C062,C040,C043
HUEY-CL06-U014	CL06-E03	3	argument	180	L10,A	C062,C040,C043
HUEY-CL06-U015	CL06-E03	3	request	180	L10,A	C062,C040,C043
HUEY-CL06-U016	CL06-E04	3	ethics	180	W06	C042,C062
HUEY-CL06-U017	CL06-E04	3	scope	180	W06	C042,C062
HUEY-CL06-U018	CL06-E04	3	request	180	A,L10	C042,C062
HUEY-CL06-U019	CL06-E05	4	request	178	A,L10	C004,C059,C071,C075
HUEY-CL06-U020	CL06-E05	4	request	178	A,L10	C004,C059,C071,C075
HUEY-CL06-U021	CL06-E05	4	question	178	A,L10	C004,C059,C071,C075
HUEY-CL06-U022	CL06-E05	4	argument	178	A,L10	C004,C059,C071,C075
HUEY-CL06-U023	CL06-E05	4	argument	178	A,L10	C004,C059,C071,C075
HUEY-CL06-U024	CL06-E06	4	argument	178	A,L10	C004,C059,C075
HUEY-CL06-U025	CL06-E06	4	argument	178	A,L10	C004,C059,C075
HUEY-CL06-U026	CL06-E06	4	argument	178	A,L10	C004,C059,C075
HUEY-CL06-U027	CL06-E06	4	law	178	W01	C004,C059,C075
HUEY-CL06-U028	CL06-E06	4	law	178	W02	C004,C059,C075
HUEY-CL06-U029	CL06-E06	4	scope	178	W01,W02	C004,C059,C075
HUEY-CL06-U030	CL06-E06	4	request	178	A,L10	C004,C059,C075
HUEY-CL06-U031	CL06-E07	4	request	179	L10,A	C058,C060,C120
HUEY-CL06-U032	CL06-E07	4	question	179	L10,A	C058,C060,C120
HUEY-CL06-U033	CL06-E07	4	question	179	L10,A	C058,C060,C120
HUEY-CL06-U034	CL06-E07	4	request	179	L10,A	C058,C060,C120
HUEY-CL06-U035	CL06-E07	4	argument	179	L10,A	C058,C060,C120
HUEY-CL06-U036	CL06-E08	4	argument	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U037	CL06-E08	4	request	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U038	CL06-E08	4	request	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U039	CL06-E08	4	request	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U040	CL06-E08	4	question	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U041	CL06-E08	4	argument	179	L10,L17,A	C022,C039,C119
HUEY-CL06-U042	CL06-E09	4	question	178	L10,L17,A	C004,C074,C105,C142
HUEY-CL06-U043	CL06-E09	4	question	178	L10,L17,A	C004,C074,C105,C142
HUEY-CL06-U044	CL06-E09	4	request	178	L10,L17,A	C004,C074,C105,C142
HUEY-CL06-U045	CL06-E09	4	argument	178	L10,L17,A	C004,C074,C105,C142
HUEY-CL06-U046	CL06-E09	4	request	178	L10,L17,A	C004,C074,C105,C142
HUEY-CL06-U047	CL06-E10	5	request	181	L08,L10,A	C057,C076,C077
HUEY-CL06-U048	CL06-E10	5	request	181	L08,L10,A	C057,C076,C077
HUEY-CL06-U049	CL06-E10	5	argument	181	L08,L10,A	C057,C076,C077
HUEY-CL06-U050	CL06-E10	5	request	181	L08,L10,A	C057,C076,C077
HUEY-CL06-U051	CL06-E10	5	argument	181	L08,L10,A	C057,C076,C077
HUEY-CL06-U052	CL06-E11	5	request	181	L10,A	C057,C074,C075,C083
HUEY-CL06-U053	CL06-E11	5	argument	181	L10,A	C057,C074,C075,C083
HUEY-CL06-U054	CL06-E11	5	argument	181	L10,A	C057,C074,C075,C083
HUEY-CL06-U055	CL06-E11	5	question	181	L10,A	C057,C074,C075,C083
HUEY-CL06-U056	CL06-E11	5	request	181	L10,A	C057,C074,C075,C083
HUEY-CL06-U057	CL06-E12	5	law	184	W04	C074,C075,C100
HUEY-CL06-U058	CL06-E12	5	law	184	W04	C074,C075,C100
HUEY-CL06-U059	CL06-E12	5	law	184	W05	C074,C075,C100
HUEY-CL06-U060	CL06-E12	5	scope	184	W04,W05	C074,C075,C100
HUEY-CL06-U061	CL06-E12	5	argument	184	A	C074,C075,C100
HUEY-CL06-U062	CL06-E13	5	law	184	W03	C059,C074,C086
HUEY-CL06-U063	CL06-E13	5	scope	184	W03	C059,C074,C086
HUEY-CL06-U064	CL06-E13	5	request	184	A,L10,L17	C059,C074,C086
HUEY-CL06-U065	CL06-E13	5	request	184	A,L17	C059,C074,C086
HUEY-CL06-U066	CL06-E14	5	request	181	L10,A	C082,C083,C084,C085
HUEY-CL06-U067	CL06-E14	5	question	181	L10,A	C082,C083,C084,C085
HUEY-CL06-U068	CL06-E14	5	question	181	L10,A	C082,C083,C084,C085
HUEY-CL06-U069	CL06-E14	5	request	181	L10,A	C082,C083,C084,C085
HUEY-CL06-U070	CL06-E14	5	scope	181	L10,A	C082,C083,C084,C085
HUEY-CL06-U071	CL06-E15	5	ethics	181	W07	C026,C074,C081,C141
HUEY-CL06-U072	CL06-E15	5	argument	181	A,L10	C026,C074,C081,C141
HUEY-CL06-U073	CL06-E15	5	request	181	A,L17	C026,C074,C081,C141
HUEY-CL06-U074	CL06-E15	5	request	181	A,L17	C026,C074,C081,C141
HUEY-CL06-U075	CL06-E15	5	argument	181	A	C026,C074,C081,C141
HUEY-CL06-U076	CL06-E16	5	ethics	179	W08	C014,C017,C025,C028,C149
HUEY-CL06-U077	CL06-E16	5	scope	179	W08	C014,C017,C025,C028,C149
HUEY-CL06-U078	CL06-E16	5	question	179	A,L17	C014,C017,C025,C028,C149
HUEY-CL06-U079	CL06-E16	5	argument	179	A	C014,C017,C025,C028,C149
