paragraph	chapter	disposition	edit	huey_issue	source_scope	review_state
CL07-C06-P001	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P002	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P003	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P004	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P005	6	retained-exact	CL07-E01	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P006	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P007	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P008	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P009	6	retained-exact	CL07-E02	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P011	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P012	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P013	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P014	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P015	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P016	6	retained-exact	-	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P017	6	retained-exact	CL07-E03	178	E15	source-aware-paragraph-review-not-independent-verification
CL07-C06-P019	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P020	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P021	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P022	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P023	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P024	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P025	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P026	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P027	6	retained-exact	CL07-E04	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P028	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P030	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P031	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P032	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P033	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P034	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P035	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P036	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P037	6	retained-exact	CL07-E05	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P038	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P040	6	retained-exact	-	178	E15,L10,L08	source-aware-paragraph-review-not-independent-verification
CL07-C06-P041	6	retained-exact	-	178	E15,L10,L08	source-aware-paragraph-review-not-independent-verification
CL07-C06-P042	6	retained-exact	CL07-E06	178	E15,L10,L08	source-aware-paragraph-review-not-independent-verification
CL07-C06-P043	6	replaced-with-lineage	CL07-E07	178	E15,L10,L08	source-aware-paragraph-review-not-independent-verification
CL07-C06-P044	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P045	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P046	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P047	6	retained-exact	CL07-E08	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P048	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C06-P049	6	retained-exact	-	178	E15,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P001	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P002	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P003	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P004	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P005	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P006	7	retained-exact	CL07-E09	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P008	7	retained-exact	-	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P009	7	retained-exact	-	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P010	7	retained-exact	-	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P011	7	replaced-with-lineage	CL07-E10	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P012	7	retained-exact	-	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P013	7	retained-exact	CL07-E11	187	L26,L08,L10,L17	source-aware-paragraph-review-not-independent-verification
CL07-C07-P015	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P016	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P017	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P018	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P019	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P020	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P021	7	retained-exact	CL07-E12	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P022	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P023	7	retained-exact	CL07-E13	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P025	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P026	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P027	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P028	7	retained-exact	CL07-E14	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P029	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P030	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P031	7	retained-exact	CL07-E15	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P033	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P034	7	retained-exact	CL07-E16	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P035	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P036	7	retained-exact	CL07-E17	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P037	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P038	7	retained-exact	CL07-E18	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P039	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P040	7	retained-exact	CL07-E19	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P042	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P043	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P044	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P045	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P046	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
CL07-C07-P047	7	retained-exact	-	180	L17,N09	source-aware-paragraph-review-not-independent-verification
