source_unit	editorial_disposition	note	huey_issue	public_source_aliases	case_status
C001	existing-narrative-correspondence	N01	178	-	unadjudicated
C002	existing-narrative-correspondence	N01	178	-	unadjudicated
C003	existing-narrative-correspondence	N01	178	-	unadjudicated
C005	source-held	N17	178	-	unadjudicated
C007	existing-narrative-correspondence	N01	178	-	unadjudicated
C008	existing-narrative-correspondence	N01	178	-	unadjudicated
C011	existing-narrative-correspondence	N02	179	W24	unadjudicated
C013	existing-narrative-correspondence	N02	179	W24	unadjudicated
C015	existing-narrative-correspondence	N02	183	W24	unadjudicated
C018	reference-detail	N02	179	W24	unadjudicated
C019	existing-narrative-correspondence	N02	179	W24	unadjudicated
C020	existing-narrative-correspondence	N02	179	W24	unadjudicated
C034	existing-narrative-correspondence	N02	183	W24	unadjudicated
C041	existing-narrative-correspondence	N02	180	W24	unadjudicated
C045	reference-detail	N03	180	W01,W02,W03	unadjudicated
C046	reference-detail	N03	180	W01,W02,W03	unadjudicated
C048	reference-detail	N03	180	W01,W02,W03	unadjudicated
C049	reference-detail	N06	184	W05,W06,W07,W03	unadjudicated
C050	reference-detail	N06	184	W05,W06,W07,W03	unadjudicated
C064	existing-narrative-correspondence	N04	180	-	unadjudicated
C066	existing-narrative-correspondence	N07	180	W08,W09	unadjudicated
C068	existing-narrative-correspondence	N14	183	-	unadjudicated
C069	reference-detail	N14	183	-	unadjudicated
C088	reference-detail	N07	184	W08,W09	unadjudicated
C089	existing-narrative-correspondence	N07	184	W08,W09	unadjudicated
C090	reference-detail	N10	182	W14	unadjudicated
C091	existing-narrative-correspondence	N10	182	W14	unadjudicated
C092	reference-detail	N11	182	W15	unadjudicated
C093	reference-detail	N12	182	W16,W17,W18	unadjudicated
C095	reference-detail	N11	182	W15	unadjudicated
C096	reference-detail	N13	182	W19,W20	unadjudicated
C097	reference-detail	N13	182	W19,W20	unadjudicated
C098	existing-narrative-correspondence	N13	182	W19,W20	unadjudicated
C102	reference-detail	N15	184	W21,W22	unadjudicated
C115	existing-narrative-correspondence	N19	185	-	unadjudicated
C123	source-held	N17	185	-	unadjudicated
C124	source-held	N17	185	-	unadjudicated
C125	source-held	N17	185	-	unadjudicated
C135	reference-detail	N18	185	-	unadjudicated
C139	existing-narrative-correspondence	N15	183	W21,W22	unadjudicated
C144	existing-narrative-correspondence	N02	179	W24	unadjudicated
C147	editorial-noninsertion	N18	185	-	unadjudicated
C148	editorial-noninsertion	N18	183	-	unadjudicated
C150	editorial-noninsertion	N18	185	-	unadjudicated
C151	editorial-noninsertion	N18	185	-	unadjudicated
C166	reference-detail	N04	180	-	unadjudicated
C167	existing-narrative-correspondence	N04	180	-	unadjudicated
C168	existing-narrative-correspondence	N04	180	-	unadjudicated
C169	existing-narrative-correspondence	N04	180	-	unadjudicated
C174	existing-narrative-correspondence	N04	180	-	unadjudicated
C175	existing-narrative-correspondence	N04	180	-	unadjudicated
C176	existing-narrative-correspondence	N04	180	-	unadjudicated
C177	existing-narrative-correspondence	N04	180	-	unadjudicated
C178	existing-narrative-correspondence	N04	180	-	unadjudicated
C179	existing-narrative-correspondence	N04	180	-	unadjudicated
C180	existing-narrative-correspondence	N04	180	-	unadjudicated
C181	existing-narrative-correspondence	N04	180	-	unadjudicated
C182	existing-narrative-correspondence	N04	180	-	unadjudicated
C187	existing-narrative-correspondence	N04	180	-	unadjudicated
C188	existing-narrative-correspondence	N04	180	-	unadjudicated
C190	existing-narrative-correspondence	N04	180	-	unadjudicated
C191	reference-detail	N04	180	-	unadjudicated
C193	existing-narrative-correspondence	N04	180	-	unadjudicated
C194	existing-narrative-correspondence	N04	180	-	unadjudicated
C195	existing-narrative-correspondence	N04	180	-	unadjudicated
C196	existing-narrative-correspondence	N04	180	-	unadjudicated
C197	existing-narrative-correspondence	N04	180	-	unadjudicated
C202	existing-narrative-correspondence	N04	180	-	unadjudicated
C212	reference-detail	N08	183	W10,W11,W12	unadjudicated
C213	reference-detail	N08	183	W10,W11,W12	unadjudicated
C214	reference-detail	N08	183	W10,W11,W12	unadjudicated
C215	existing-narrative-correspondence	N08	183	W10,W11,W12	unadjudicated
C216	reference-detail	N08	183	W10,W11,W12	unadjudicated
C217	existing-narrative-correspondence	N08	183	W10,W11,W12	unadjudicated
C218	existing-narrative-correspondence	N08	183	W10,W11,W12	unadjudicated
C219	reference-detail	N08	183	W10,W11,W12	unadjudicated
C220	existing-narrative-correspondence	N08	183	W10,W11,W12	unadjudicated
C229	reference-detail	N05	184	W04,W03	unadjudicated
C230	reference-detail	N05	180	W04,W03	unadjudicated
C231	reference-detail	N05	180	W04,W03	unadjudicated
C232	reference-detail	N07	184	W08,W09	unadjudicated
C233	existing-narrative-correspondence	N07	180	W08,W09	unadjudicated
C234	existing-narrative-correspondence	N07	180	W08,W09	unadjudicated
C235	existing-narrative-correspondence	N07	180	W08,W09	unadjudicated
C236	existing-narrative-correspondence	N14	183	-	unadjudicated
C237	existing-narrative-correspondence	N14	183	-	unadjudicated
C240	reference-detail	N16	183	W23	unadjudicated
C241	reference-detail	N16	184	W23	unadjudicated
C242	reference-detail	N16	183	W23	unadjudicated
C249	reference-detail	N09	181	W13	unadjudicated
C255	existing-narrative-correspondence	N18	185	-	unadjudicated
