unit	paragraph	chapter	huey_issue	sources	notes	status
HUEY-CL09-P02-032-S01	P02-032	2	25	D01,D02,A	M01,M02,M03,M04,M05,M06	retained-exact-source-and-scope-review
HUEY-CL09-P02-032-S02	P02-032	2	25	D01,D02,A	M01,M02,M03,M04,M05,M06	retained-exact-source-and-scope-review
HUEY-CL09-P02-032-S03	P02-032	2	25	D01,D02,A	M01,M02,M03,M04,M05,M06	retained-exact-source-and-scope-review
HUEY-CL09-P02-032-S04	P02-032	2	25	D01,D02,A	M01,M02,M03,M04,M05,M06	retained-exact-source-and-scope-review
HUEY-CL09-P04-024-S01	P04-024	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-024-S02	P04-024	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-025-S01	P04-025	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-025-S02	P04-025	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-025-S03	P04-025	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-025-S04	P04-025	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-025-S05	P04-025	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-026-S01	P04-026	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-026-S02	P04-026	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-027-S01	P04-027	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-027-S02	P04-027	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-027-S03	P04-027	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-027-S04	P04-027	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-027-S05	P04-027	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-028-S01	P04-028	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-028-S02	P04-028	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-028-S03	P04-028	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-028-S04	P04-028	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-028-S05	P04-028	4	129	D02,D03,A	M07,M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-030-S01	P04-030	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-030-S02	P04-030	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S01	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S02	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S03	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S04	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S05	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
HUEY-CL09-P04-031-S06	P04-031	4	129	D02,D03,A	M08	retained-exact-source-and-scope-review
