unit	note	type	huey_issue	sources	calculation_ids
HUEY-CL09-U001	M01	source-report	25	D01,D02	-
HUEY-CL09-U002	M01	source-report	25	D01,D02	-
HUEY-CL09-U003	M01	source-report	25	D01	-
HUEY-CL09-U004	M01	scope	25	A	-
HUEY-CL09-U005	M01	retrieval-scope	25	A	-
HUEY-CL09-U006	M01	analysis	25	D01,D02,A	-
HUEY-CL09-U007	M01	scope	25	D01,D02,A	-
HUEY-CL09-U008	M02	analysis	25	D01,D02,A	-
HUEY-CL09-U009	M02	method	25	A	-
HUEY-CL09-U010	M02	method	25	D01,D02,A	-
HUEY-CL09-U011	M02	method	25	A	-
HUEY-CL09-U012	M02	arithmetic	25	A	-
HUEY-CL09-U013	M02	documentation	25	W04	-
HUEY-CL09-U014	M02	method	25	W04,A	-
HUEY-CL09-U015	M02	method	25	A	-
HUEY-CL09-U016	M03	arithmetic	25	A	-
HUEY-CL09-U017	M03	arithmetic	25	D01,D02,A	Q01,Q02
HUEY-CL09-U018	M03	arithmetic	25	D01,D02,A	Q03,Q04
HUEY-CL09-U019	M03	arithmetic	25	D01,D02,A	Q05,Q06
HUEY-CL09-U020	M03	analysis	25	D01,D02,A	Q03,Q04,Q05,Q06
HUEY-CL09-U021	M03	scope	25	A	-
HUEY-CL09-U022	M04	arithmetic	25	D01,D02,A	Q07,Q08
HUEY-CL09-U023	M04	analysis	25	D01,D02,A	Q07,Q08
HUEY-CL09-U024	M04	arithmetic-example	25	A	EX01
HUEY-CL09-U025	M04	scope	25	A	-
HUEY-CL09-U026	M04	scope	25	A	-
HUEY-CL09-U027	M05	arithmetic	25	D01,A	Q09,Q10
HUEY-CL09-U028	M05	arithmetic	25	D01,A	Q11,Q12
HUEY-CL09-U029	M05	method	25	A	-
HUEY-CL09-U030	M05	arithmetic-example	25	A	EX02
HUEY-CL09-U031	M05	scope	25	A	-
HUEY-CL09-U032	M05	analysis	25	A	-
HUEY-CL09-U033	M05	scope	25	D01,D02,A	-
HUEY-CL09-U034	M05	method	25	A	-
HUEY-CL09-U035	M06	documentation	25	W02,W03	-
HUEY-CL09-U036	M06	method	25	W02,W03,A	-
HUEY-CL09-U037	M06	documentation	25	W01,W05	-
HUEY-CL09-U038	M06	method	25	W01,W05,A	-
HUEY-CL09-U039	M06	method	25	W01,A	-
HUEY-CL09-U040	M06	method	25	A	-
HUEY-CL09-U041	M06	documentation	25	W06	-
HUEY-CL09-U042	M06	scope	25	W03,W06,A	-
HUEY-CL09-U043	M06	method	25	A	-
HUEY-CL09-U044	M06	normative	25	D03,A	-
HUEY-CL09-U045	M07	research	129	W07	-
HUEY-CL09-U046	M07	research-scope	129	W07	-
HUEY-CL09-U047	M07	research-scope	129	W07,A	-
HUEY-CL09-U048	M07	source-discrepancy	129	W07	-
HUEY-CL09-U049	M07	source-discrepancy	129	W07	-
HUEY-CL09-U050	M07	method	129	A	-
HUEY-CL09-U051	M07	scope	129	A	-
HUEY-CL09-U052	M08	source-report	129	D02	-
HUEY-CL09-U053	M08	scope	129	D02	-
HUEY-CL09-U054	M08	method	129	D02,A	-
HUEY-CL09-U055	M08	normative	129	D02,D03,A	-
HUEY-CL09-U056	M08	normative	129	D03,A	-
HUEY-CL09-U057	M08	normative	129	D03,A	-
