reference_unit	note	type	huey_issues	source_aliases
HUEY-CL08-N01-B01	N01	source-description-or-editorial-analysis	178	D04,D05,D03
HUEY-CL08-N01-B02	N01	source-description-or-editorial-analysis	178	D04,D05,D03
HUEY-CL08-N01-QUESTION	N01	review-request	178	D04,D05,D03
HUEY-CL08-N01-EVIDENCE	N01	review-request	178	D04,D05,D03
HUEY-CL08-N01-COMPETENT_REVIEW	N01	review-request	178	D04,D05,D03
HUEY-CL08-N01-CLOSURE	N01	review-request	178	D04,D05,D03
HUEY-CL08-N01-LIMIT	N01	scope-limit	178	D04,D05,D03
HUEY-CL08-N02-B01	N02	source-description-or-editorial-analysis	179,180,183	D02,W24,A
HUEY-CL08-N02-B02	N02	source-description-or-editorial-analysis	179,180,183	D02,W24,A
HUEY-CL08-N02-QUESTION	N02	review-request	179,180,183	D02,W24,A
HUEY-CL08-N02-EVIDENCE	N02	review-request	179,180,183	D02,W24,A
HUEY-CL08-N02-COMPETENT_REVIEW	N02	review-request	179,180,183	D02,W24,A
HUEY-CL08-N02-CLOSURE	N02	review-request	179,180,183	D02,W24,A
HUEY-CL08-N02-LIMIT	N02	scope-limit	179,180,183	D02,W24,A
HUEY-CL08-N03-B01	N03	source-description-or-editorial-analysis	180	W01,W02,W03
HUEY-CL08-N03-B02	N03	source-description-or-editorial-analysis	180	W01,W02,W03
HUEY-CL08-N03-QUESTION	N03	review-request	180	W01,W02,W03
HUEY-CL08-N03-EVIDENCE	N03	review-request	180	W01,W02,W03
HUEY-CL08-N03-COMPETENT_REVIEW	N03	review-request	180	W01,W02,W03
HUEY-CL08-N03-CLOSURE	N03	review-request	180	W01,W02,W03
HUEY-CL08-N03-LIMIT	N03	scope-limit	180	W01,W02,W03
HUEY-CL08-N04-B01	N04	source-description-or-editorial-analysis	180	D01,D02
HUEY-CL08-N04-B02	N04	source-description-or-editorial-analysis	180	D01,D02
HUEY-CL08-N04-B03	N04	source-description-or-editorial-analysis	180	D01,D02
HUEY-CL08-N04-QUESTION	N04	review-request	180	D01,D02
HUEY-CL08-N04-EVIDENCE	N04	review-request	180	D01,D02
HUEY-CL08-N04-COMPETENT_REVIEW	N04	review-request	180	D01,D02
HUEY-CL08-N04-CLOSURE	N04	review-request	180	D01,D02
HUEY-CL08-N04-LIMIT	N04	scope-limit	180	D01,D02
HUEY-CL08-N05-B01	N05	source-description-or-editorial-analysis	180,184	W04,W03,D02
HUEY-CL08-N05-B02	N05	source-description-or-editorial-analysis	180,184	W04,W03,D02
HUEY-CL08-N05-QUESTION	N05	review-request	180,184	W04,W03,D02
HUEY-CL08-N05-EVIDENCE	N05	review-request	180,184	W04,W03,D02
HUEY-CL08-N05-COMPETENT_REVIEW	N05	review-request	180,184	W04,W03,D02
HUEY-CL08-N05-CLOSURE	N05	review-request	180,184	W04,W03,D02
HUEY-CL08-N05-LIMIT	N05	scope-limit	180,184	W04,W03,D02
HUEY-CL08-N06-B01	N06	source-description-or-editorial-analysis	184	W05,W06,W07,W03
HUEY-CL08-N06-B02	N06	source-description-or-editorial-analysis	184	W05,W06,W07,W03
HUEY-CL08-N06-B03	N06	source-description-or-editorial-analysis	184	W05,W06,W07,W03
HUEY-CL08-N06-QUESTION	N06	review-request	184	W05,W06,W07,W03
HUEY-CL08-N06-EVIDENCE	N06	review-request	184	W05,W06,W07,W03
HUEY-CL08-N06-COMPETENT_REVIEW	N06	review-request	184	W05,W06,W07,W03
HUEY-CL08-N06-CLOSURE	N06	review-request	184	W05,W06,W07,W03
HUEY-CL08-N06-LIMIT	N06	scope-limit	184	W05,W06,W07,W03
HUEY-CL08-N07-B01	N07	source-description-or-editorial-analysis	180,184	W08,W09,D01,D02
HUEY-CL08-N07-B02	N07	source-description-or-editorial-analysis	180,184	W08,W09,D01,D02
HUEY-CL08-N07-B03	N07	source-description-or-editorial-analysis	180,184	W08,W09,D01,D02
HUEY-CL08-N07-QUESTION	N07	review-request	180,184	W08,W09,D01,D02
HUEY-CL08-N07-EVIDENCE	N07	review-request	180,184	W08,W09,D01,D02
HUEY-CL08-N07-COMPETENT_REVIEW	N07	review-request	180,184	W08,W09,D01,D02
HUEY-CL08-N07-CLOSURE	N07	review-request	180,184	W08,W09,D01,D02
HUEY-CL08-N07-LIMIT	N07	scope-limit	180,184	W08,W09,D01,D02
HUEY-CL08-N08-B01	N08	source-description-or-editorial-analysis	183	W10,W11,W12,D02
HUEY-CL08-N08-B02	N08	source-description-or-editorial-analysis	183	W10,W11,W12,D02
HUEY-CL08-N08-B03	N08	source-description-or-editorial-analysis	183	W10,W11,W12,D02
HUEY-CL08-N08-QUESTION	N08	review-request	183	W10,W11,W12,D02
HUEY-CL08-N08-EVIDENCE	N08	review-request	183	W10,W11,W12,D02
HUEY-CL08-N08-COMPETENT_REVIEW	N08	review-request	183	W10,W11,W12,D02
HUEY-CL08-N08-CLOSURE	N08	review-request	183	W10,W11,W12,D02
HUEY-CL08-N08-LIMIT	N08	scope-limit	183	W10,W11,W12,D02
HUEY-CL08-N09-B01	N09	source-description-or-editorial-analysis	181	W13,D02
HUEY-CL08-N09-B02	N09	source-description-or-editorial-analysis	181	W13,D02
HUEY-CL08-N09-QUESTION	N09	review-request	181	W13,D02
HUEY-CL08-N09-EVIDENCE	N09	review-request	181	W13,D02
HUEY-CL08-N09-COMPETENT_REVIEW	N09	review-request	181	W13,D02
HUEY-CL08-N09-CLOSURE	N09	review-request	181	W13,D02
HUEY-CL08-N09-LIMIT	N09	scope-limit	181	W13,D02
HUEY-CL08-N10-B01	N10	source-description-or-editorial-analysis	182	W14,D03
HUEY-CL08-N10-B02	N10	source-description-or-editorial-analysis	182	W14,D03
HUEY-CL08-N10-QUESTION	N10	review-request	182	W14,D03
HUEY-CL08-N10-EVIDENCE	N10	review-request	182	W14,D03
HUEY-CL08-N10-COMPETENT_REVIEW	N10	review-request	182	W14,D03
HUEY-CL08-N10-CLOSURE	N10	review-request	182	W14,D03
HUEY-CL08-N10-LIMIT	N10	scope-limit	182	W14,D03
HUEY-CL08-N11-B01	N11	source-description-or-editorial-analysis	182	W15,D03
HUEY-CL08-N11-B02	N11	source-description-or-editorial-analysis	182	W15,D03
HUEY-CL08-N11-QUESTION	N11	review-request	182	W15,D03
HUEY-CL08-N11-EVIDENCE	N11	review-request	182	W15,D03
HUEY-CL08-N11-COMPETENT_REVIEW	N11	review-request	182	W15,D03
HUEY-CL08-N11-CLOSURE	N11	review-request	182	W15,D03
HUEY-CL08-N11-LIMIT	N11	scope-limit	182	W15,D03
HUEY-CL08-N12-B01	N12	source-description-or-editorial-analysis	182	W16,W17,W18,D03
HUEY-CL08-N12-B02	N12	source-description-or-editorial-analysis	182	W16,W17,W18,D03
HUEY-CL08-N12-B03	N12	source-description-or-editorial-analysis	182	W16,W17,W18,D03
HUEY-CL08-N12-QUESTION	N12	review-request	182	W16,W17,W18,D03
HUEY-CL08-N12-EVIDENCE	N12	review-request	182	W16,W17,W18,D03
HUEY-CL08-N12-COMPETENT_REVIEW	N12	review-request	182	W16,W17,W18,D03
HUEY-CL08-N12-CLOSURE	N12	review-request	182	W16,W17,W18,D03
HUEY-CL08-N12-LIMIT	N12	scope-limit	182	W16,W17,W18,D03
HUEY-CL08-N13-B01	N13	source-description-or-editorial-analysis	182	W19,W20,D03
HUEY-CL08-N13-B02	N13	source-description-or-editorial-analysis	182	W19,W20,D03
HUEY-CL08-N13-B03	N13	source-description-or-editorial-analysis	182	W19,W20,D03
HUEY-CL08-N13-QUESTION	N13	review-request	182	W19,W20,D03
HUEY-CL08-N13-EVIDENCE	N13	review-request	182	W19,W20,D03
HUEY-CL08-N13-COMPETENT_REVIEW	N13	review-request	182	W19,W20,D03
HUEY-CL08-N13-CLOSURE	N13	review-request	182	W19,W20,D03
HUEY-CL08-N13-LIMIT	N13	scope-limit	182	W19,W20,D03
HUEY-CL08-N14-B01	N14	source-description-or-editorial-analysis	183	D01,D02,D03
HUEY-CL08-N14-B02	N14	source-description-or-editorial-analysis	183	D01,D02,D03
HUEY-CL08-N14-QUESTION	N14	review-request	183	D01,D02,D03
